Main Genre,Main Production,Release Year,Title,Duration,Index,Number Of Votes,Score
drama,US,2021,"tick, tick... BOOM!",121,174,96418,7.5
drama,TR,2014,Coming Soon,134,175,33714,7.5
drama,US,2016,Nocturnal Animals,115,176,264884,7.5
fantasy,ES,2016,A Monster Calls,108,177,86614,7.5
fantasy,HU,2017,On Body and Soul,116,178,27003,7.5
drama,IN,2020,Ala Vaikunthapurramuloo,165,179,14839,7.5
horror,DE,1997,The Devil's Advocate,144,180,361422,7.5
drama,IN,2007,Sivaji: The Boss,189,181,19556,7.5
fantasy,IT,2018,Happy as Lazzaro,125,182,17716,7.5
war,US,1961,The Guns of Navarone,158,183,50150,7.5
thriller,DE,2014,Who Am I,105,184,55044,7.5
romance,US,1954,White Christmas,115,185,42373,7.5
drama,CN,2010,Ip Man 2,108,186,103673,7.5
drama,US,2013,42,128,187,93314,7.5
drama,US,1993,Menace II Society,97,188,57399,7.5
romance,IN,1994,Hum Aapke Hain Koun..!,206,189,20986,7.5
drama,US,2001,Blow,124,190,255099,7.5
comedy,US,2013,Begin Again,104,191,154049,7.4
drama,US,2019,Uncut Gems,130,192,261956,7.4
crime,US,2011,Sherlock Holmes: A Game of Shadows,129,193,446531,7.4
drama,JP,2012,Rurouni Kenshin Part I: Origins,134,194,25793,7.4
thriller,KR,2017,Forgotten,109,195,29804,7.4
drama,IN,2015,Tamasha,139,196,26790,7.4
drama,US,2017,Mudbound,120,197,47676,7.4
drama,US,2017,Lady Bird,94,198,277165,7.4
drama,CA,2017,Molly's Game,140,199,165817,7.4
thriller,IN,2016,Raman Raghav 2.0,134,200,14380,7.4
thriller,IN,2010,Once Upon a Time in Mumbaai,132,201,17494,7.4
drama,IN,2008,Jaane Tu... Ya Jaane Na,155,202,26738,7.4
drama,IN,2010,Peepli Live,104,203,12265,7.4
drama,ES,2010,Even the Rain,104,204,13446,7.4
drama,GB,2017,Darkest Hour,125,205,193208,7.4
drama,US,2007,The Bucket List,97,206,242733,7.4
