Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
TV-14,"Two worlds collide when Josh, a wealthy young tech entrepreneur, meets Gabi, a feisty young food blogger, looking to be his personal chef. Gabi is desperate for the job and must prove herself, mostly to Josh's aide, who prefers a famous chef for the job. When Josh enlists Gabi to prepare a romantic meal for him and his girlfriend, the dinner goes awry and Gabi finds herself in a very awkward position. With the help of her best friend Sofia and Josh's housekeeper, Gabi turns a difficult situation into an opportunity for employment and maybe even love. Gabi gets some much needed help and advice from Joshâ€™s assistant and his housekeeper.","['comedy', 'drama', 'romance']",ts20790,tt2084712,['US'],2014,Young & Hungry,SHOW,7.3,15780,21,5,21.126,6.8
PG,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.","['action', 'family', 'animation', 'romance', 'comedy', 'fantasy', 'history', 'scifi']",tm161029,tt0864835,['US'],2014,Mr. Peabody & Sherman,MOVIE,6.8,69669,92,,37.533,6.7
TV-14,Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.,"['animation', 'scifi', 'fantasy', 'romance', 'action', 'comedy', 'drama', 'family']",ts20014,tt3124992,['JP'],2014,Sailor Moon Crystal,SHOW,7.8,2148,24,4,47.398,8.2
R,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"['thriller', 'crime', 'drama']",tm181270,tt2005374,['US'],2013,The Frozen Ground,MOVIE,6.4,62972,105,,10.449,6.3
TV-MA,"After finding out he has an STI, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.","['comedy', 'european']",ts35570,tt4051832,['GB'],2014,Lovesick,SHOW,8,19899,25,3,12.802,7.5
PG-13,Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire. It is based on the 2001 DreamWorks Animation's film Shrek and William Steig's 1990 book Shrek! It was nominated for 8 Tony Awards including Best Musical.,"['music', 'comedy', 'fantasy', 'family']",tm237143,tt3070936,['US'],2013,Shrek the Musical,MOVIE,6.9,3695,130,,14.341,7.2
R,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.","['drama', 'history', 'european', 'romance', 'war']",tm181081,tt2058107,"['AU', 'CH', 'GB']",2013,The Railway Man,MOVIE,7.1,40175,116,,8.518,6.9
TV-14,"In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.","['drama', 'romance', 'thriller', 'action', 'crime', 'european']",ts20336,tt2955402,['ES'],2014,Velvet,SHOW,8.1,6115,57,4,37.631,6.1
TV-PG,Tiny House Nation takes renovation experts John Weisbarth and Zack Griffinh across America to help design and construct tiny dream homes in spaces under 500 square feet. Tiny House Nation proves size doesn't matter it's creative that counts!,['reality'],ts35244,tt3869500,['US'],2014,Tiny House Nation,SHOW,7.1,1143,43,5,4.211,7.5
PG-13,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,"['drama', 'music']",tm144121,tt2473602,['US'],2014,Get on Up,MOVIE,6.9,24613,139,,9.945,6.7
